leaid,name,name_public,charter,city,county,zip,state,state_abbr,enroll,frl,minority,national_math,national_reading
3502070,POJOAQUE VALLEY PUBLIC SCHOOLS,Pojoaque Valley,0,SANTA FE,SANTA FE,87501,New Mexico,NM,1979,0.49,0.93,0.34,0.37
2201350,RICHLAND PARISH,Richland Parish,0,RAYVILLE,RICHLAND,71269,Louisiana,LA,3385,0.76,0.53,0.34,0.29
4000014,BURNS FLAT-DILL CITY,Burns Flat Dill City,0,BURNS FLAT,WASHITA,73624,Oklahoma,OK,672,0.61,0.22,0.34,0.41
629400,PACIFIC UNION ELEMENTARY,Pacific Union,0,FRESNO,FRESNO,93725,California,CA,371,0.86,0.77,0.34,0.32
4008610,COPAN,Copan,0,COPAN,WASHINGTON,74022,Oklahoma,OK,273,0.47,0.32,0.34,0.41
616920,HEMET UNIFIED,Hemet Unified,0,HEMET,RIVERSIDE,92545,California,CA,22903,0.71,0.58,0.34,0.35
4005430,BRIGGS,Briggs,0,TAHLEQUAH,CHEROKEE,74464,Oklahoma,OK,488,0.93,0.84,0.34,0.36
1305580,WEBSTER COUNTY,Webster County,0,PRESTON,WEBSTER,31824,Georgia,GA,489,0.66,0.6,0.34,0.37
4500930,BAMBERG 01,Bamberg 01,0,BAMBERG,BAMBERG,29003,South Carolina,SC,1502,0.57,0.58,0.34,0.35
5504620,LAC DU FLAMBEAU #1 SCHOOL DISTRICT,Lac du Flambeau #1,0,LAC DU FLAMBEAU,VILAS,54538,Wisconsin,WI,447,0.87,0.98,0.34,0.38
803360,SCHOOL DISTRICT NO. 1 ,School District 1,0,DENVER,DENVER,80203,Colorado,CO,74189,0.66,0.77,0.34,0.31
4032370,WESTERN HEIGHTS,Western Heights,0,OKLAHOMA CITY,OKLAHOMA,73179,Oklahoma,OK,3420,0.83,0.57,0.34,0.36
2006060,MISSION VALLEY,Mission Valley,0,ESKRIDGE,WABAUNSEE,66423,Kansas,KS,489,0.34,0.05,0.34,0.4
3412690,PATERSON,Paterson,0,PATERSON,PASSAIC,7505,New Jersey,NJ,22178,0.91,0.94,0.34,0.34
4014670,MIDWAY,Midway,0,COUNCIL HILL,MUSKOGEE,74428,Oklahoma,OK,231,0.84,0.32,0.34,0.2
